,x
0,6.332427978515625
1,9.356218338012695
2,10.925975799560547
3,10.970385551452637
4,10.927013397216797
5,0.5616824626922607
6,9.507991790771484
7,-0.5772260427474976
8,10.936126708984375
9,9.841119766235352
10,10.80628776550293
11,6.216590881347656
12,2.497382402420044
13,2.4973816871643066
14,2.497382402420044
15,2.0695321559906006
16,2.0695157051086426
17,1.9928194284439087
18,2.5577404499053955
19,2.537428617477417
20,2.5573904514312744
21,2.119706153869629
22,2.5355963706970215
23,2.537429094314575
24,7.261697769165039
25,-0.4760432839393616
26,9.777597427368164
27,10.045059204101562
28,8.479269981384277
29,0.1997254341840744
30,9.272746086120605
31,9.60905647277832
32,10.94664192199707
33,7.528214931488037
34,5.711325645446777
35,7.8122100830078125
36,5.229888439178467
37,1.9498322010040283
38,1.9498308897018433
39,1.949832797050476
40,1.949782133102417
41,1.949005126953125
42,2.497382879257202
43,2.491668462753296
44,2.0695388317108154
45,3.534261465072632
46,3.5402894020080566
47,1.9498341083526611
48,6.400767803192139
49,7.6760993003845215
50,8.387639045715332
51,7.727450370788574
52,6.889246463775635
53,0.2094617486000061
54,8.32815933227539
55,6.3988356590271
56,5.676942825317383
57,6.246673583984375
58,6.345402717590332
59,5.509308815002441
60,2.1255335807800293
61,2.537428855895996
62,2.537428855895996
63,2.125535488128662
64,2.031400680541992
65,2.0127367973327637
66,2.0127367973327637
67,2.0127360820770264
68,1.9928216934204102
69,1.9928226470947266
70,1.9928216934204102
71,1.9928230047225952
72,7.268126964569092
73,9.103547096252441
74,8.990034103393555
75,8.532807350158691
76,8.51620101928711
77,7.393840789794922
78,9.250815391540527
79,8.991617202758789
80,9.431245803833008
81,6.241842269897461
82,9.845786094665527
83,5.450320720672607
84,4.920708656311035
85,4.879792213439941
86,1.9498339891433716
87,1.9498324394226074
88,1.9498696327209473
89,1.9498692750930786
90,1.9498317241668701
91,1.949869990348816
92,1.9498696327209473
93,1.9498703479766846
94,1.949832797050476
95,1.9498324394226074
96,0.19424083828926086
97,10.931280136108398
98,-0.6320457458496094
99,10.14599609375
100,10.915727615356445
101,10.534335136413574
102,8.791778564453125
103,9.682170867919922
104,7.501736640930176
105,9.175885200500488
106,8.9867525100708
107,5.57873010635376
108,1.949005365371704
109,1.9490039348602295
110,1.9482795000076294
111,1.9500861167907715
112,1.9494282007217407
113,1.950086236000061
114,1.9491057395935059
115,1.9491056203842163
116,1.9506235122680664
117,1.9506237506866455
118,2.5692262649536133
119,2.5853166580200195
120,2.573513984680176
121,1.6348490715026855
122,2.580225944519043
123,2.5781025886535645
124,2.5782878398895264
125,2.569225311279297
126,2.581427812576294
127,2.5814287662506104
128,2.576885938644409
129,2.583224058151245
130,2.5856704711914062
131,2.581427812576294
132,2.574737787246704
133,2.5711848735809326
134,2.583224058151245
135,2.583224058151245
136,2.583224058151245
137,2.5823583602905273
138,2.583688259124756
139,2.5870258808135986
140,2.5849111080169678
141,2.584061622619629
142,2.5853166580200195
143,2.584062337875366
144,2.5579895973205566
145,2.566439151763916
146,2.5740766525268555
147,2.5735745429992676
148,2.5738682746887207
149,3.534153699874878
150,4.09237003326416
151,3.5341527462005615
152,3.5258402824401855
153,4.133238315582275
154,4.092317581176758
155,3.5314645767211914
156,4.092317581176758
157,2.5571210384368896
158,3.5347156524658203
159,4.092317581176758
160,4.09237003326416
161,3.5341527462005615
162,2.557122230529785
163,2.557121992111206
164,2.5483651161193848
165,2.5299484729766846
166,2.497382402420044
167,2.074756622314453
168,0.22576798498630524
169,11.00741958618164
170,10.993407249450684
171,11.063873291015625
172,11.07089614868164
173,7.9236321449279785
174,10.013919830322266
175,10.107418060302734
176,9.695883750915527
177,7.5318708419799805
178,7.327785968780518
179,5.600879192352295
180,3.540290594100952
181,3.518003463745117
182,3.5342695713043213
183,4.092385768890381
184,3.5342605113983154
185,3.534268617630005
186,3.534268617630005
187,3.534268617630005
188,3.5342628955841064
189,3.5342605113983154
190,3.5342204570770264
191,1.9498324394226074
192,7.472683429718018
193,10.970836639404297
194,10.056293487548828
195,8.388442039489746
196,9.479680061340332
197,9.607266426086426
198,8.4966402053833
199,9.988784790039062
200,8.82682991027832
201,6.463012218475342
202,5.488888740539551
203,5.479731559753418
