,x,y
0,-9.33085823059082,-6.396712303161621
1,-12.98106575012207,-9.958632469177246
2,-14.743904113769531,-11.679159164428711
3,-14.803330421447754,-11.736648559570312
4,-14.742713928222656,-11.674660682678223
5,-13.334281921386719,-10.29114055633545
6,-13.17211627960205,-10.149052619934082
7,-14.594498634338379,-11.528340339660645
8,-14.751856803894043,-11.692487716674805
9,-13.56950569152832,-10.535923957824707
10,-14.600366592407227,-11.536319732666016
11,-9.173835754394531,-6.240561485290527
12,-3.1296441555023193,-1.8014140129089355
13,-3.9329276084899902,-0.7574900388717651
14,-4.480833053588867,-0.33527299761772156
15,-3.5469329357147217,-1.188596248626709
16,-3.986053228378296,-0.6919416189193726
17,-4.221177577972412,-0.16528531908988953
18,-4.581903457641602,-0.3980120122432709
19,-3.6936347484588623,-1.6355217695236206
20,-3.526618719100952,-2.09903883934021
21,-4.157617568969727,-1.2547297477722168
22,-3.8105692863464355,-1.6254005432128906
23,-4.597229957580566,-0.3782781660556793
24,-10.658483505249023,-7.692575454711914
25,-14.117177963256836,-11.071301460266113
26,-13.50491714477539,-10.479413986206055
27,-13.829347610473633,-10.788435935974121
28,-11.943827629089355,-8.947763442993164
29,-10.783950805664062,-7.811062335968018
30,-12.898218154907227,-9.880332946777344
31,-13.346742630004883,-10.357184410095215
32,-14.774510383605957,-11.708677291870117
33,-10.915199279785156,-7.941282749176025
34,-7.909404754638672,-5.0066657066345215
35,-11.224194526672363,-8.24179744720459
36,-7.175301551818848,-4.299944877624512
37,-3.9421229362487793,-0.097323477268219
38,-2.837625741958618,-1.1333729028701782
39,-2.839676856994629,-1.232558250427246
40,-3.516589403152466,-0.186148002743721
41,-4.075858116149902,-0.09027499705553055
42,-3.53645658493042,-1.205899953842163
43,-3.5432348251342773,-1.1917294263839722
44,-3.543236494064331,-1.1917258501052856
45,-6.305053234100342,-0.668757975101471
46,-1.4598290920257568,-1.4866584539413452
47,-2.9075429439544678,-1.378859519958496
48,-9.417811393737793,-6.47623348236084
49,-11.076934814453125,-8.097344398498535
50,-11.831405639648438,-8.838065147399902
51,-11.1309175491333,-8.152210235595703
52,-10.268420219421387,-7.306735992431641
53,-11.286212921142578,-8.302271842956543
54,-11.773252487182617,-8.792197227478027
55,-9.447733879089355,-6.486786365509033
56,-7.869614124298096,-4.964839458465576
57,-9.21583080291748,-6.275961875915527
58,-9.345129013061523,-6.405223369598389
59,-7.6466827392578125,-4.73660945892334
60,-3.6936309337615967,-1.6355153322219849
61,-3.9683470726013184,-1.5098400115966797
62,-4.288303375244141,-1.1380341053009033
63,-3.3313651084899902,-1.989875078201294
64,-3.109945774078369,-1.7566924095153809
65,-3.0487451553344727,-1.6269885301589966
66,-3.5894887447357178,-1.0720192193984985
67,-3.0487451553344727,-1.6269885301589966
68,-3.786125659942627,-0.7662464380264282
69,-4.112855434417725,-0.7084751129150391
70,-3.5813968181610107,-1.0235756635665894
71,-4.112849712371826,-0.7084717750549316
72,-10.67791748046875,-7.7106757164001465
73,-12.695330619812012,-9.684534072875977
74,-12.560401916503906,-9.548089027404785
75,-12.007027626037598,-9.006302833557129
76,-11.987292289733887,-8.989289283752441
77,-10.793371200561523,-7.8081488609313965
78,-12.863585472106934,-9.850139617919922
79,-12.56660270690918,-9.553772926330566
80,-13.076641082763672,-10.063460350036621
81,-9.20594596862793,-6.270120143890381
82,-13.578746795654297,-10.546963691711426
83,-7.535892009735107,-4.641324043273926
84,-6.61693000793457,-3.7702207565307617
85,-6.5847673416137695,-3.752382278442383
86,-3.9357101917266846,-0.08907205611467361
87,-2.839674472808838,-1.2325565814971924
88,-3.448709487915039,-0.8611875176429749
89,-3.9361143112182617,-0.08913417160511017
90,-2.8875515460968018,-1.3676687479019165
91,-3.4833083152770996,-0.22730839252471924
92,-3.4358718395233154,-0.23066070675849915
93,-3.39390230178833,-0.24366672337055206
94,-3.661219596862793,-0.20820501446723938
95,-4.076894283294678,-0.09396359324455261
96,-10.774930953979492,-7.801382064819336
97,-14.762860298156738,-11.698884010314941
98,-14.794421195983887,-11.728033065795898
99,-13.938064575195312,-10.893142700195312
100,-14.736722946166992,-11.672345161437988
101,-14.312963485717773,-11.258138656616211
102,-12.320663452148438,-9.313363075256348
103,-13.37658405303955,-10.346161842346191
104,-10.893271446228027,-7.91847038269043
105,-12.765790939331055,-9.756616592407227
106,-12.562849044799805,-9.55209732055664
107,-7.753418445587158,-4.841416358947754
108,-3.0639748573303223,-0.6222784519195557
109,-2.8253157138824463,-1.1214663982391357
110,-2.9341585636138916,-0.737767219543457
111,-2.990736722946167,-0.6721694469451904
112,-3.465332269668579,-0.19945180416107178
113,-2.9697906970977783,-0.696418821811676
114,-3.7832632064819336,-0.8829448819160461
